resume_uploaded,batch_resume_uploaded_pct,should_nudge_resume
1,69.2968399019447,0
1,81.68339469306947,0
1,76.38090230242577,0
1,62.1144320821209,0
1,72.24069964842317,0
1,74.20092809205627,0
1,83.03720339705697,0
1,65.18991174678122,0
1,76.12155893469406,0
1,69.8483530471761,0
0,74.95545159723655,0
1,83.88236130321806,0
1,93.63636931429194,0
1,68.51711027262535,0
1,92.8529067552756,0
1,89.04305201407139,0
0,75.88727512080845,0
0,95.47497920401612,1
1,94.25920730148904,0
1,64.85976133882727,0
1,77.6010011948271,0
0,89.62605822339418,1
0,87.41048347905758,1
0,63.0671467147183,0
0,74.79326349847028,0
1,82.53143996711188,0
1,67.25442331296955,0
1,85.73553599094927,0
1,74.23340979759955,0
1,73.91384431525941,0
1,71.85335714660904,0
0,84.98001010733768,1
0,83.52270028510252,1
1,93.43902302024132,0
1,84.951314894869,0
1,62.48678231204327,0
1,70.6845912580349,0
1,78.67569510363674,0
0,67.64104278055778,0
0,74.05786184790658,0
0,62.1280198677695,0
0,89.77538934457822,1
1,59.73135467784821,0
1,60.12890653525431,0
1,83.14159521721422,0
0,82.12456814556731,1
1,63.46720074950616,0
1,80.21730879607273,0
1,92.4741749887257,0
1,88.44951566727977,0
1,82.16368943066426,0
1,77.66002234491083,0
0,83.30459170355861,1
0,58.86432371735977,0
0,91.8553979556861,1
1,61.44930217971186,0
0,65.76933379049282,0
0,89.2568864842563,1
0,70.49541595815103,0
1,70.50805769163922,0
0,73.14490429438604,0
0,92.24716909421232,1
1,93.91777052881908,0
0,62.84645450121043,0
0,66.58571349781167,0
0,78.94561855808647,0
1,80.71361906816888,0
0,71.44951781938344,0
1,89.22350899322129,0
1,94.63463761843263,0
1,92.54306966252518,0
0,87.84296272685653,1
1,73.02377338531609,0
1,69.47589766412639,0
0,76.95113189087004,0
1,93.67832001052774,0
0,94.31928654443384,1
0,73.88248486846604,0
1,82.37196534038758,0
1,77.92240709785396,0
0,76.91586765001446,0
0,75.64482059443161,0
1,73.28360850514065,0
0,84.62381468868847,1
1,77.6208685122217,0
1,78.1820599915533,0
1,90.99630899760464,0
1,82.56799925708285,0
1,84.79804379571993,0
0,85.560900319371,1
0,60.54519646436368,0
1,72.81953010775575,0
1,84.45246855995447,0
1,70.9835813416801,0
0,82.88221138215931,1
0,78.65725628262703,0
0,74.69760416959315,0
1,91.31617619629088,0
0,90.58533475997326,1
1,84.3956344176266,0
1,96.45674720536908,0
1,77.20803600331838,0
0,69.82096331442298,0
1,69.30197511700722,0
1,82.11058517931328,0
1,81.43387761614377,0
0,70.5833741918647,0
1,85.88864916671685,0
1,85.92034029934625,0
0,87.36122194530127,1
1,68.27822041029788,0
1,85.93196890486728,0
0,80.30428831564424,1
0,75.09244082504725,0
0,74.70857379013846,0
1,88.12790579810711,0
1,84.46075427973588,0
1,78.4496064836667,0
1,72.21950454108016,0
1,80.83626392479897,0
0,84.59416977443378,1
1,94.49842134301268,0
0,92.72463095857064,1
1,89.33391598968866,0
1,68.71022249884756,0
0,63.86817652769471,0
1,74.49000335005364,0
1,58.178576288490376,0
1,68.17218033469359,0
1,76.80846191109812,0
0,84.33613667408127,1
0,89.92599705359093,1
0,72.11341788031325,0
0,82.71642518547402,1
1,87.90941512176326,0
1,85.50717841543884,0
0,73.76324135660836,0
1,63.10018817147932,0
0,61.05496291811776,0
0,71.65683595615236,0
0,59.814823513277965,0
1,74.78026098494233,0
1,73.36270079044945,0
0,84.14483678515776,1
0,89.23446253812023,1
1,89.15857415111196,0
1,79.7881765332719,0
0,76.84439383308347,0
0,81.20452390484635,1
1,89.59250493204851,0
1,91.03544812988667,0
0,93.11430712738851,1
0,89.52639510928512,1
1,68.5405798630505,0
1,67.0798806556656,0
1,63.09407197757903,0
0,69.86297158049467,0
1,59.35469220208853,0
0,69.52081534617122,0
1,63.256153940118125,0
1,60.45252815152439,0
0,74.82507941892723,0
1,64.29342349739653,0
0,83.89423354608779,1
1,61.4331689335932,0
0,87.51930617033248,1
0,79.57456889435933,0
0,87.12090276417143,1
0,61.93141007444645,0
1,66.46821900207055,0
1,95.8342548442615,0
1,89.94304247432946,0
1,86.66329355191597,0
1,74.36936927572926,0
1,75.31482852298296,0
0,80.79213744083803,1
1,74.9192445335263,0
1,91.56955303056674,0
0,79.56377273098101,0
1,79.15899316323616,0
0,70.52901666298422,0
0,89.23213787406021,1
0,90.76354695586184,1
0,66.64135780408282,0
1,82.34789165651222,0
0,89.02004603695615,1
1,63.676489491040215,0
1,68.87743432609544,0
0,67.24208697999346,0
0,93.1937553481415,1
0,86.13340689795443,1
0,94.72450795672356,1
1,68.11645660712519,0
0,61.981488500915376,0
1,68.65323226756344,0
0,76.5861953953104,0
1,93.28242485626096,0
1,83.0678984006671,0
1,81.33841775015479,0
1,76.31816356424999,0
0,80.30233810605375,0
0,82.22189457417146,1
1,70.50691195483328,0
1,94.05717626002432,0
0,80.99936939747623,1
0,70.24012819231818,0
0,80.57123166052617,0
1,74.4376428751174,0
1,78.01038545138806,0
1,60.28626940845399,0
0,60.67772376550408,0
1,90.41714891035792,0
1,62.69377451264473,0
1,68.88379741574745,0
0,88.01710386695154,1
1,91.9998720482641,0
1,74.929090186967,0
0,69.15995065982648,0
1,69.23059377603519,0
0,75.54017830185327,0
0,72.36402312495798,0
1,94.79421221323604,0
1,86.86365615684764,0
0,92.44600764545916,1
0,73.32099068041647,0
1,63.95833828358811,0
1,71.31321764551473,0
1,68.0899151070575,0
1,60.44779349615041,1
1,90.15095068331752,0
1,66.99011988038484,0
0,78.75893371079103,0
0,80.07369059665372,1
0,60.855839643543646,0
0,63.4555774016739,0
1,91.15173690108811,0
0,90.20372725205344,1
0,79.80840240578402,0
1,59.43951364171839,0
1,60.87047910379777,0
0,96.74698219072104,1
0,66.33026478232469,0
0,88.50404881572422,1
0,88.53440647792847,1
0,71.68083384038508,0
1,86.46126828631644,0
0,72.61911157661066,0
0,61.65437261212276,0
0,89.82811665207795,1
1,72.00635434749236,0
1,66.42157688195037,0
0,93.03052745227129,0
0,76.54723173526794,0
0,64.20362949167338,1
1,89.05087947559166,0
0,93.59915374718086,1
0,89.71082468136157,1
0,64.72823343487394,0
1,86.54844974049628,0
0,83.96593042633256,1
1,66.04177300801302,0
1,64.9274635182372,0
1,71.61257848777653,0
0,91.8379047634847,1
0,61.79142983270117,0
1,70.41530528379765,0
1,87.55789215655979,0
0,76.87074795361805,0
0,86.84638875385498,1
0,69.5236291449969,0
0,66.61963498585926,0
0,87.59539824044205,1
1,74.04032768501327,0
0,69.97389775307,0
1,85.21174916510543,0
1,95.59169645281682,0
1,76.12265245407461,0
0,84.40578526319851,1
1,69.14233410358088,0
0,96.23288980984346,1
0,79.35818470581269,0
1,59.93565418688936,0
0,77.08007740572644,0
0,86.24176566890709,1
1,86.12589469883031,0
1,69.32543828866167,0
0,73.90298800109782,0
1,81.00956242253318,0
1,64.3919772608019,0
1,90.22152554460168,0
0,77.96512851268585,0
0,66.55741384500845,0
1,62.08830221032384,0
1,92.81939782353862,0
0,80.10686622331117,0
0,67.71884097344724,0
1,86.55865945205247,0
1,88.63182740848357,0
1,73.1259770126706,0
1,67.46196459103798,0
0,86.9768338176908,1
1,78.98710569470144,0
1,80.95624609193048,0
1,89.99969742673622,0
1,93.24741678220089,0
1,61.679854775283694,0
1,91.01522827105288,0
0,61.40020483637837,0
0,75.83968620017038,0
1,63.73982908198187,0
1,81.10261392886626,0
0,79.45859389155804,0
