resume_uploaded,karma,batch_resume_uploaded_pct,event_fomo_score,should_nudge_resume,should_nudge_event
1,392.4295023274851,69.2968399019447,0.4566120963432873,0,0
1,303.2102973293613,81.68339469306947,0.8753788023578933,0,1
1,454.38372520283247,76.38090230242577,0.37222048820661374,0,0
1,440.71420372711486,62.1144320821209,0.5410032099717503,0,1
1,455.96910253383066,72.24069964842317,0.40171128554061897,0,0
1,490.96931504663405,74.20092809205627,0.44758053234323036,0,0
1,149.44143983283985,83.03720339705697,0.652047995560776,0,1
1,475.93372817619303,65.18991174678122,0.7395899960518086,0,1
1,258.9230911002547,76.12155893469406,0.49560411135248056,0,1
1,191.02293470377018,69.8483530471761,0.5211375588296061,0,0
0,326.0014893546467,74.95545159723655,0.7152437321558021,0,1
1,56.97156188039738,83.88236130321806,0.9085069926756518,0,1
1,399.13197636662113,93.63636931429194,0.8288706659546397,0,1
1,301.23436827482453,68.51711027262535,0.8601353992840228,0,1
1,230.67254435648755,92.85290675527561,0.29992843804362657,0,0
1,272.72171135842603,89.04305201407139,0.26864233077712546,0,0
0,242.88984397553034,75.88727512080845,0.7545744070717231,0,1
0,158.06763919263966,95.47497920401612,0.5812029571759784,1,1
1,48.24647360743889,94.25920730148904,0.8617993347017529,0,1
1,354.7190432770983,64.85976133882727,0.4645704454657281,0,0
1,224.9714589647373,77.6010011948271,0.7120183309745861,0,1
0,395.0775359617419,89.62605822339418,0.4638916494705569,1,0
0,147.87408974876155,87.41048347905758,0.7728276284951915,1,1
0,192.557961004722,63.0671467147183,0.8236150717530646,0,1
0,178.95347238817612,74.79326349847028,0.2622591124518826,0,0
1,465.435789667733,82.53143996711188,0.6461073082244366,0,1
1,211.10145958174502,67.25442331296955,0.7955692126977337,0,1
1,399.86306111621997,85.73553599094927,0.3530387415234604,0,0
1,198.22529128393236,74.23340979759955,0.838427341467731,0,1
1,151.22429594196336,73.91384431525941,0.22145944078521462,0,0
1,468.2114680237335,71.85335714660904,0.7820219036242876,0,1
0,423.9760168423887,84.98001010733768,0.23251406620769952,1,0
0,427.82529099011765,83.52270028510252,0.8650928548147917,1,1
1,317.30891663081997,93.43902302024132,0.34885576894969705,0,0
1,509.6470781932982,84.951314894869,0.37382535359525854,0,0
1,419.19731541491507,62.48678231204327,0.637301308158266,0,1
1,444.70354480956297,70.6845912580349,0.21695458994630107,0,0
1,431.6338944718912,78.67569510363674,0.5428031201387867,0,1
0,139.80786798411876,67.64104278055778,0.42310679894740094,0,0
0,158.548185443356,74.05786184790658,0.7411014483119609,0,1
0,132.55876245133507,62.1280198677695,0.5133786199042268,0,1
0,175.21820287601736,89.77538934457822,0.7486366518275521,1,1
1,166.50304063961707,59.73135467784821,0.5392690486812707,0,1
1,139.10249295320173,60.12890653525431,0.4193835554898324,0,0
1,161.8619091671214,83.14159521721422,0.34455409396527975,0,0
0,445.6822868137687,82.12456814556731,0.6580013693708983,1,1
1,380.0374599111758,63.46720074950616,0.1965808186893594,0,0
1,292.68346316026367,80.21730879607273,0.29446904775390204,0,0
1,489.4478188897044,92.4741749887257,0.6655196904189482,0,1
